nohup: ignoring input
Files already downloaded and verified
Files already downloaded and verified
Epoch 1, lr 0.100000
/opt/conda/envs/python35-paddle120-env/lib/python3.7/site-packages/torch/optim/lr_scheduler.py:113: UserWarning: Seems like `optimizer.step()` has been overridden after learning rate scheduler initialization. Please, make sure to call `optimizer.step()` before `lr_scheduler.step()`. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  "https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate", UserWarning)
14:32:32 train - loss: 2.2591, acc: 0.1995
14:33:01 valid - loss: 1.7372, acc: 0.3672
Epoch 2, lr 0.102447
14:35:20 train - loss: 2.0361, acc: 0.2984
14:35:29 valid - loss: 1.6246, acc: 0.4114
Epoch 3, lr 0.109549
14:37:47 train - loss: 1.9397, acc: 0.3610
14:37:56 valid - loss: 1.2525, acc: 0.5743
Epoch 4, lr 0.120611
14:40:14 train - loss: 1.8420, acc: 0.4168
14:40:22 valid - loss: 1.1305, acc: 0.6283
Epoch 5, lr 0.134549
14:42:41 train - loss: 1.7750, acc: 0.4533
14:42:49 valid - loss: 1.0029, acc: 0.6818
Epoch 6, lr 0.150000
14:45:07 train - loss: 1.7381, acc: 0.4748
14:45:16 valid - loss: 1.0555, acc: 0.6901
Epoch 7, lr 0.165451
14:47:34 train - loss: 1.7250, acc: 0.4813
14:47:42 valid - loss: 1.0235, acc: 0.7028
Epoch 8, lr 0.179389
14:50:01 train - loss: 1.7037, acc: 0.4921
14:50:09 valid - loss: 0.8764, acc: 0.7583
Epoch 9, lr 0.190451
14:52:28 train - loss: 1.6697, acc: 0.5090
14:52:36 valid - loss: 0.7806, acc: 0.7772
Epoch 10, lr 0.197553
14:54:55 train - loss: 1.6729, acc: 0.5069
14:55:03 valid - loss: 0.7827, acc: 0.8126
Epoch 11, lr 0.200000
14:57:22 train - loss: 1.6165, acc: 0.5376
14:57:30 valid - loss: 0.8541, acc: 0.7948
Epoch 12, lr 0.199999
14:59:49 train - loss: 1.6575, acc: 0.5161
14:59:57 valid - loss: 0.6183, acc: 0.8264
Epoch 13, lr 0.199994
15:02:15 train - loss: 1.6205, acc: 0.5327
15:02:24 valid - loss: 0.7932, acc: 0.8082
Epoch 14, lr 0.199987
15:04:42 train - loss: 1.5957, acc: 0.5429
15:04:50 valid - loss: 0.8917, acc: 0.8020
Epoch 15, lr 0.199977
15:07:09 train - loss: 1.5946, acc: 0.5450
15:07:17 valid - loss: 0.6628, acc: 0.7973
Epoch 16, lr 0.199965
15:09:36 train - loss: 1.6110, acc: 0.5405
15:09:45 valid - loss: 0.5135, acc: 0.8373
Epoch 17, lr 0.199949
15:12:04 train - loss: 1.5764, acc: 0.5557
15:12:12 valid - loss: 0.7780, acc: 0.8201
Epoch 18, lr 0.199931
15:14:32 train - loss: 1.5664, acc: 0.5566
15:14:40 valid - loss: 0.6978, acc: 0.8471
Epoch 19, lr 0.199909
15:16:59 train - loss: 1.5594, acc: 0.5633
15:17:08 valid - loss: 0.7537, acc: 0.8471
Epoch 20, lr 0.199885
15:19:26 train - loss: 1.5436, acc: 0.5693
15:19:35 valid - loss: 0.6290, acc: 0.8607
Epoch 21, lr 0.199858
15:21:53 train - loss: 1.5721, acc: 0.5549
15:22:02 valid - loss: 0.5269, acc: 0.8568
Epoch 22, lr 0.199829
15:24:21 train - loss: 1.5361, acc: 0.5715
15:24:29 valid - loss: 0.7919, acc: 0.8540
Epoch 23, lr 0.199796
15:26:48 train - loss: 1.5071, acc: 0.5863
15:26:57 valid - loss: 0.4899, acc: 0.8779
Epoch 24, lr 0.199761
