nohup: ignoring input
Files already downloaded and verified
Files already downloaded and verified
Epoch 1, lr 0.100000
/opt/conda/envs/python35-paddle120-env/lib/python3.7/site-packages/torch/optim/lr_scheduler.py:113: UserWarning: Seems like `optimizer.step()` has been overridden after learning rate scheduler initialization. Please, make sure to call `optimizer.step()` before `lr_scheduler.step()`. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
  "https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate", UserWarning)
16:16:48 train - loss: 2.1601, acc: 0.2440
Epoch 2, lr 0.102447
16:19:11 train - loss: 1.7712, acc: 0.4142
Epoch 3, lr 0.109549
16:21:36 train - loss: 1.5514, acc: 0.5254
Epoch 4, lr 0.120611
16:24:01 train - loss: 1.4070, acc: 0.5935
Epoch 5, lr 0.134549
16:26:27 train - loss: 1.3033, acc: 0.6430
Epoch 6, lr 0.150000
16:28:51 train - loss: 1.2345, acc: 0.6779
Epoch 7, lr 0.165451
16:31:16 train - loss: 1.1859, acc: 0.6980
Epoch 8, lr 0.179389
16:33:41 train - loss: 1.1501, acc: 0.7164
Epoch 9, lr 0.190451
16:36:06 train - loss: 1.1274, acc: 0.7232
Epoch 10, lr 0.197553
16:38:32 train - loss: 1.0917, acc: 0.7406
16:39:03 valid - loss: 0.5173, acc: 0.8319
Epoch 11, lr 0.200000
16:41:27 train - loss: 1.0596, acc: 0.7560
Epoch 12, lr 0.199999
16:43:52 train - loss: 1.0406, acc: 0.7632
Epoch 13, lr 0.199994
16:46:18 train - loss: 1.0201, acc: 0.7715
Epoch 14, lr 0.199987
16:48:43 train - loss: 1.0039, acc: 0.7792
Epoch 15, lr 0.199977
16:51:08 train - loss: 0.9949, acc: 0.7830
Epoch 16, lr 0.199965
16:53:32 train - loss: 0.9835, acc: 0.7890
Epoch 17, lr 0.199949
16:55:58 train - loss: 0.9706, acc: 0.7949
Epoch 18, lr 0.199931
16:58:24 train - loss: 0.9547, acc: 0.8017
Epoch 19, lr 0.199909
17:00:49 train - loss: 0.9530, acc: 0.8008
Epoch 20, lr 0.199885
17:03:14 train - loss: 0.9421, acc: 0.8067
17:03:24 valid - loss: 0.4398, acc: 0.8738
Epoch 21, lr 0.199858
17:05:49 train - loss: 0.9372, acc: 0.8090
Epoch 22, lr 0.199829
17:08:14 train - loss: 0.9278, acc: 0.8126
Epoch 23, lr 0.199796
17:10:39 train - loss: 0.9166, acc: 0.8183
Epoch 24, lr 0.199761
17:13:05 train - loss: 0.9144, acc: 0.8176
Epoch 25, lr 0.199723
17:15:30 train - loss: 0.9109, acc: 0.8197
Epoch 26, lr 0.199682
17:17:54 train - loss: 0.9094, acc: 0.8194
Epoch 27, lr 0.199638
17:20:18 train - loss: 0.8954, acc: 0.8252
Epoch 28, lr 0.199591
17:22:41 train - loss: 0.8997, acc: 0.8240
Epoch 29, lr 0.199541
17:25:05 train - loss: 0.8916, acc: 0.8261
Epoch 30, lr 0.199489
17:27:28 train - loss: 0.8898, acc: 0.8299
17:27:37 valid - loss: 0.3362, acc: 0.9091
Epoch 31, lr 0.199434
17:30:01 train - loss: 0.8817, acc: 0.8316
Epoch 32, lr 0.199376
17:32:25 train - loss: 0.8716, acc: 0.8382
Epoch 33, lr 0.199315
17:34:48 train - loss: 0.8747, acc: 0.8354
Epoch 34, lr 0.199252
17:37:11 train - loss: 0.8712, acc: 0.8371
Epoch 35, lr 0.199185
17:39:35 train - loss: 0.8680, acc: 0.8384
Epoch 36, lr 0.199116
17:41:58 train - loss: 0.8665, acc: 0.8374
Epoch 37, lr 0.199044
